District,Facility Type,Material Type,Facility ID,Facility Description,Company,Contact Person,Contact Email,Telephone Number,Physical Address,P-Address Line 2,P-Address City,P-Address State,P-Address Zip,P-Address Country,Latitude,Longitude,Mailing Address,M-Address Line 2,M-Address City,M-Address State,M-Address Zip,M-Address Country,Facility Status,Facility Status Date,QCP Status,QCP Status Date
District 1,Plant,Asphalt,A0714,"PREFERRED MATERIALS, INC.SOUTHERN DIV.","PMI-Preferred Materials, Inc. - Asphalt Division",Christ Timothy,timothy.christ@preferredmaterials.com,(239) 986-5487,14321 ALICO ROAD,,FT. MYERS,Florida,33913,,26.293600,-81.434600,5701 E. HILLSBOROUGH AVENUE,SUITE 1122,TAMPA,Florida,33610,,Under Review,6/23/2015,Accepted,10/14/2016
District 1,Plant,Asphalt,A0735,"SUPERIOR ASPHALT, INC.","Superior Asphalt, Inc.",RICHARD MARCADO,rmarcado@superiorasphaltinc.net,(941) 755-2850,4703 15TH STREET E.,,BRADENTON,Florida,34203,,27.457800,-82.546617,4703 15TH STREET E.,,BRADENTON,Florida,34203,,Under Review,6/23/2015,Accepted,9/9/2016
District 1,Plant,Asphalt,A0741,THE LANE CONSTRUCTION CORPORATION,Lane Construction Corporation,,,,3350 REYNOLDS ROAD,,EATON PARK,Florida,33840,,28.002956,-81.889064,PO BOX 2684,,EATON PARK,Florida,33840,,Under Review,6/23/2015,Inactivated,12/14/2018
District 1,Plant,Asphalt,A0747,"PREFERRED MATERIALS, INC.SOUTHERN REGION","PMI-Preferred Materials, Inc. - Asphalt Division",RICHARD FORT,RICHARD.FORT@PREFERREDMATERIALS.COM,(941) 650-6230,5600 QUARRY DRIVE,,SARASOTA,Florida,34240,,27.379717,-82.388217,1451 MYRTLE STREET,,SARASOTA,Florida,34234,,Under Review,6/23/2015,Inactivated,5/24/2018
District 1,Plant,Asphalt,A0754,GENERAL ASPHALT OF LAKELAND,"General Asphalt of Lakeland L.L.C., D.B.A. General Asphalt Paving L.L.C.",STEVEN WAGNER,steve@galakeland.com,(863) 668-9156,4526 MAINE AVENUE,,LAKELAND,Florida,33840,,28.012632,-81.870654,4526 MAINE AVENUE,,LAKELAND,Florida,33840,,Under Review,6/23/2015,Accepted,11/20/2017
District 1,Plant,Asphalt,A0755,"PREFERRED MATERIALS, INC.SOUTHERN REGION","PMI-Preferred Materials, Inc. - Asphalt Division",DAVID DACHENHAUSEN,david.dachenhousen@preferredmaterials.com,(239) 560-2289,911 5TH STREET SW,,NAPLES,Florida,34117,,26.206679,-81.615340,1451 MYRTLE STREET,,SARASOTA,Florida,34234,,Under Review,6/23/2015,Accepted,2/15/2017
District 1,Plant,Asphalt,A0760,"Ajax Paving Industries of Florida, LLC - Ft. Myers, FL",Ajax Paving Industries of Florida LLC,RUSTY REYNOLDS,rreynolds@ajaxpaving.com,(239) 707-2808,7100 PENNSYLVANIA ST.,SEND TO A0708,FT. MYERS,Florida,33912,,26.495250,-81.831860,7100 PENNSYLVANIA ST.,SEND TO A0708,FT. MYERS,Florida,33912,,Under Review,6/23/2015,Accepted,4/21/2016
District 1,Plant,Asphalt,A0770,COMMUNITY ASPHALT CORPORATION,OHLA / Community Asphalt Corporation,RICHARD PEREZ,richard.perez@ohla-usa.com,(786) 418-3362,16560 MASS COURT,,FT. MYERS,Florida,33912,,26.498183,-81.828714,16560 MASS COURT,,FT. MYERS,Florida,33912,,Under Review,6/23/2015,Accepted,10/1/2015
District 1,Plant,Asphalt,A0778,"LYNCH PAVING, INC.",Okeechobee Asphalt & Ready Mix Concrete,BOB GENT,bgent59@yahoo.com,(863) 763-7373,503 NW 9TH STREET,,OKEECHOBEE,Florida,34973,,27.252254,-80.836203,P.O. BOX 1994,,OKEECHOBEE,Florida,34973,,Under Review,6/23/2015,Inactivated,2/28/2019
District 1,Plant,Asphalt,A0780,LOUGHMAN PLANT- LANE CONSTRUCTION CORP.,Lane Construction Corporation,,,,3606 CR 547 N,,DAVENPORT,Florida,33837,,28.213638,-81.583561,PO BOX 2684,,EATON PARK,Florida,33840,,Under Review,6/23/2015,Inactivated,12/28/2018
District 1,Plant,Asphalt,A0789,Tampa Pavement Constructors - Lakeland,Hubbard Construction Company,CHRISTINE SAMPLEY,christine.sampley@hubbard.com,(727) 647-1783,3350 Reynolds Road,,Eaton Park,Florida,33840,,28.002956,-81.889064,3350 Reynolds Road,,Eaton Park,Florida,33840,,Under Review,12/13/2018,Accepted,9/16/2019
District 1,Plant,Asphalt,A0790,Orlando Paving Company – Loughman,Hubbard Construction Company,Cindy Meyer,cindy.meyer@hubbard.com,(407) 623-3982,3606 CR 547 N,,Davenport,Florida,33837,,28.213638,-81.583561,3350 Reynolds Road,,Eaton Park,Florida,33840,,Under Review,12/13/2018,Accepted,9/16/2019
District 1,Plant,Asphalt,A0791,"C. W. Roberts Contracting, Inc. - Okeechobee","C. W. Roberts Contracting, Inc. (Asphalt Division)",JAMES HAYWOOD,JHAYWOOD@CWRCONTRACTING.COM,(863) 228-2904,503 NW 9TH STREET,,OKEECHOBEE,Florida,34973,,27.252254,-80.836203,P.O. Box 1994,,Okeechobee,Florida,34973,,Under Review,3/19/2019,Accepted,1/23/2023
District 1,Plant,Incidental Precast Products,IPC-09,S & S PRECAST,"S & S Precast, Inc.",BOGDANA GROSARU,bogdana@ssprecast.com,(239) 692-4877,25095 OLD 41 ROAD,,BONITA SPRINGS,Florida,34135,,26.375764,-81.800759,PO BOX 366098,,BONITA SPRINGS,Florida,34136,,Under Review,6/23/2015,Accepted,4/23/2025
District 1,Plant,Incidental Precast Products,IPC-25,OLDCASTLE PRECAST INC. CAPE CORAL,"Preferred Materials, Inc. - Concrete Division",,,,2140 PONDELLA ROAD NORTH,,Cape Coral,Florida,33909,,26.664279,-81.929599,2140 PONDELLA ROAD NORTH,,Cape Coral,Florida,33909,,Under Review,6/23/2015,Accepted,5/16/2024
District 1,Plant,Incidental Precast Products,IPC-34,SEMINOLE PRECAST MANUFACTURING INC.,Seminole Precast,Matt Silver,msilver@seminoleprecast.com,(386) 668-7745,3770 B MAINE AVENUE,,LAKELAND,Florida,33801,,28.015100,-81.881518,PO BOX 531059,,DEBARY,Florida,32753,,Under Review,6/23/2015,Inactivated,6/23/2015
District 1,Plant,Incidental Precast Products,IPC-50,HENKAY PRECAST,Henkay Precast,BRYAN YANES,BRYAN.YANES@VINCI-CONSTRUCTION.COM,(813) 550-5120,3645 W STATE ROAD 80,,FT. DENAUD,Florida,33935,,26.717422,-81.493222,3645 W STATE ROAD 80,,FT. DENAUD,Florida,33935,,Under Review,6/23/2015,Inactivated,3/20/2023
District 1,Plant,Incidental Precast Products,IPC-52,CONCRETE IMPRESSIONS OF FLORIDA,"Concrete Impressions of Florida, Inc.",JOSEPH ZACHARA,joe@ciflorida.com,(813) 899-4284,4611 Lykes Rd,,Plant City,Florida,33566,,27.997911,-82.167628,4611 Lykes Rd,,Plant City,Florida,33566,,Under Review,6/23/2015,Accepted,12/2/2024
District 1,Plant,Incidental Precast Products,IPC-53,FORTERRA PIPE PRECAST,Forterra Pipe and Precast,RICK RICKARD,rick.rickard@forterrabp.com,(904) 669-4400,1285 LUCERNE LOOP ROAD N.E.,,WINTER HAVEN,Florida,33881,,28.073000,-81.692000,1285 LUCERNE LOOP ROAD N.E.,,WINTER HAVEN,Florida,33881,,Under Review,6/23/2015,Inactivated,7/25/2018
District 1,Plant,Incidental Precast Products,IPC-56,"ATLANTIC TNG, LLC",Atlantic TNG LLC,,,,1701 MYRTLE STREET,,SARASOTA,Florida,34234,,27.367555,-82.536853,PO BOX 729,,SARASOTA,Florida,34230,,Under Review,6/23/2015,Inactivated,8/18/2017
District 1,Plant,Incidental Precast Products,IPC-61,"TRAFFIC CONTROL PRODUCTS OF FL, INC.",Traffic Control Products of Florida,JIMMY GONZALEZ,Signestimator@trafficcontrolproducts.org,(813) 621-8484 x134,5514 Carmack Rd,,Tampa,Florida,33610,,27.999216,-82.330069,5514 Carmack Rd,,Tampa,Florida,33610,,Under Review,9/22/2017,Accepted,12/20/2024
District 1,Plant,Incidental Precast Products,IPC-66,"STANDARD CONCRETE PRODUCTS, Inc.","Standard Concrete Products, Inc.",,,,5801 WEST COMMERCE STREET,,TAMPA,Florida,33616,,27.862268,-82.539691,P.O. BOX 13885,,TAMPA,Florida,33681,,Under Review,7/25/2017,Accepted,5/22/2025
District 1,Plant,Incidental Precast Products,IPC-70,"Geoquest USA, Inc. - Dade City","Geoquest USA, Inc.",BRYAN YANES,bryan.yanes@geoquest-group.com,(863) 458-5866,39200 Coit Rd,,Dade City,Florida,33523,,28.460956,-82.166512,39200 Coit Rd,,Dade City,Florida,33523,,Under Review,2/13/2019,Accepted,7/21/2025
District 1,Plant,Incidental Precast Products,IPC-78,Coreslab Structures (Tampa) Inc.,"Coreslab Structures, Inc.",,,,6301 N 56TH STREET,,TAMPA,Florida,33610,,28.005520,-82.389989,6301 N 56TH STREET,,TAMPA,Florida,33610,,Under Review,1/11/2022,Inactivated,3/6/2023
District 1,Plant,Incidental Precast Products,IPC-80,"Geoquest USA, Inc. - FT. DENAUD","Geoquest USA, Inc.",Bryan Yanes,bryan.yanes@geoquest-group.com,(863) 458-5866,3645 W STATE ROAD 80,,FT. DENAUD,Florida,33935,,26.717422,-81.493222,3645 W STATE ROAD 80,,FT. DENAUD,Florida,33935,,Under Review,3/8/2023,Accepted,6/5/2025
District 1,Plant,Incidental Precast Products,IPC-83,Florida Highway Precast - La Belle,Florida Highway Precast,MARIA CAMILA FERNANDEZ,CFERNANDEZ@FHPRECAST.COM,(239) 288-9653,730 Industrial Blvd,,La Belle,Florida,33935,,26.749350,-81.426160,11341 Lindbergh Blvd,,Ft Myers,Florida,33913,,Under Review,5/20/2024,Accepted,7/2/2025
District 1,Plant,Non Structural Concrete,01-497,Titan Nonstructural/Commercial materials,Titan Florida LLC,MICHAEL CUNNINGHAM,mcunningham@titanamerica.com,(954) 325-2108,26451 Eagle Blvd,,Punta Gorda,Florida,33950,,26.878930,-82.009520,425 Commercial Court,Ste. B3,Venice,Florida,34292,,Approved,6/21/2022,,
District 1,Plant,Non Structural Concrete,01-499,"Quality Crete, Inc.-Volumetric-Englewood","QUALITY-CRETE, INC.",JOHN SMITH,ACCOUNTING@QUALITY-CRETE.COM,(941) 441-6195,6441 San Casa Dr,,Englewood,Florida,34224,,26.933223,-82.313017,18501 Murdock Circle,Suite 306,Port Charlotte,Florida,33948,,Under Review,7/16/2024,,
District 1,Plant,Non Structural Concrete,01-500,QE Concrete LLC-Volumetric-Punta Gorda,"QE Concrete, LLC",Robert Emerson,remerson@QEUSA.com,(239) 272-1813,10401 Pheasant Blvd,,Punta Gorda,Florida,33950,,26.878280,82.007760,10401 Pheasant Blvd.,,Punta Gorda,Florida,33950,,Approved,4/18/2025,,
District 1,Plant,Non Structural Concrete,03-477,QE Concrete LLC-Volumetric-Naples,"QE Concrete, LLC",VANESSA RENDON,vrendon@qeconcrete.net,(786) 624-0641,3494 Shearwater St,,Naples,Florida,34117,,26.159899,-81.671669,3494 Shearwater St,,Naples,Florida,34117,,Approved,11/4/2021,,
District 1,Plant,Non Structural Concrete,03-479,Tincher Concrete Construction-Volumetric-Naples,Tincher Concrete Construction Inc,Louis Tincher,louis@tincherconcrete.com,(239) 229-6656,1080 16th Street NE,,Naples,Florida,34120,,26.258700,-81.585100,2845 Hunter Street,,Fort Myers,Florida,33916,,Approved,6/7/2024,,
District 1,Plant,Non Structural Concrete,12-519,TARMAC AMERICA INC.,Titan Florida LLC,MIKE CUNNINGHAM,mcunningham@titanamerica.com,(239) 437-3541,8020 MAINLINE PKWY,,FT MYERS,Florida,33912,,26.497771,-81.821875,425 COMMERCIAL COURT STE. B3,,VENICE,Florida,34292,,Suspended,10/15/2013,,
District 1,Plant,Non Structural Concrete,12-526,Tincher Concrete Construction-Volumetric- Fort Myers,Tincher Concrete Construction Inc,AUSTIN TINCHER,austin@tincherconcrete.com,(239) 789-5232,2831 Hunter Street,,Fort Myers,Florida,33912,,26.616683,-81.857136,7600 Alico Road,#12-25,Fort Myers,Florida,33912,,Approved,8/26/2022,,
District 1,Plant,Non Structural Concrete,13-487,"ARMOUR TIGHT CONCRETE, LLC","Armour Tight Concrete, LLC",TOM PAISLEY,tom@armourtight.com,(941) 748-2878,3904 15TH STREET EAST,,BRADENTON,Florida,34208,,27.464710,-82.547350,3904 15TH STREET EAST,,BRADENTON,Florida,34208,,Inactivated,1/1/2018,,
District 1,Plant,Non Structural Concrete,15-383,Carroll's Building Materials-Volumetric-St. Pete,Carroll's Building Materials,BRIAN YATES,BRIAN@CARROLLSBUILDINGMATERIALS.COM,(727) 902-5493,2001 13th Avenue North,,St. Petersburg,Florida,33713,,27.785670,-82.660750,2001 13th Avenue North,,St. Petersburg,Florida,33713,,Approved,4/18/2024,,
District 1,Plant,Non Structural Concrete,16-525,SRM,Smyrna Ready Mix,MATT HEIDEL,matt@kmrconcrete.com,(863) 519-9077,2835 STATE ROAD 60 EAST,,BARTOW,Florida,33830,,27.904721,-81.806570,PO BOX 428,,BARTOW,Florida,33831,,Suspended,3/18/2013,,
District 1,Plant,Non Structural Concrete,16-527,City of Lakeland-Volumetric-Lakeland,City of Lakeland,Philip Hart,Philip.Hart@lakelandgov.net,(863) 834-6246,228 MASSACHUSETTS AVE,,Lakeland,Florida,33801,,28.042320,-81.953620,228 MASSACHUSETTS AVE,,LAKELAND,Florida,33801,,Approved,1/5/2015,,
District 1,Plant,Non Structural Concrete,17-474,Titan Nonstructural/Commercial Materials,Titan Florida LLC,MIKE CUNNINGHAM,mcunningham@titanamerica.com,(941) 234-4858,580 GENE GREEN RD,,NOKOMIS,Florida,34275,,27.155298,-82.387612,425 COMMERCIAL COURT,STE. B3,VENICE,Florida,34292,,Approved,12/21/2022,,
District 1,Plant,Non Structural Concrete,91-265,CARMIX Services-Mobile-Okeechobee,"CARMIX Services FL1, LLC",TEODORO ALONSO,teodoro.alonso@incspa.com,(954) 589-5352,1500 NE Park Street,,Oeechobee,Florida,34972,,27.243960,-80.813980,1500 NE Park Street,,Okeechobee,Florida,34972,,Approved,7/11/2024,,
